extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
385	ENG VPL1W	1 SELF-ADHESIVE LOOP VEL CRO 25YD RL		1 SELF-ADHESIVE LOOP VEL	CRO 25YD RL		624030		911a2a90-25b0-cf93-e814-46a538357594
386	ENG WBCJGA	CLEAR JET SPRAY GLOSS AE ROSOL		CLEAR JET SPRAY GLOSS AE	ROSOL		451958		911a2a90-25b0-cf93-e814-46a5e0019294
387	ENG XD-CH	#2 METAL BLADE HOLDER		#2 METAL BLADE HOLDER			508758		911a2a90-25b0-cf93-e814-46a58082ad94
388	ENG XD-CH3	BLADE HOLDER PLASTIC		BLADE HOLDER PLASTIC			509496		911a2a90-25b0-cf93-e814-46a58826ca94
389	ENG XD-CPS-300	CUTTER PROTECTION STRIP		CUTTER PROTECTION STRIP			505729		911a2a90-25b0-cf93-e814-46a5b09be694
390	ENG XP5216	9X12 CHERRY BASE FO10 PL ATE		9X12 CHERRY BASE FO10 PL	ATE		394796		911a2a90-25b0-cf93-e814-46a5d0cb0495
391	ENG XUS-004	LASER OPTICS CLEANING TI SSUE		LASER OPTICS CLEANING TI	SSUE		723231		911a2a90-25b0-cf93-e814-46a570972095
392	ENG YSU-1	10 U-CHANNEL SIGN POST G REEN		10 U-CHANNEL SIGN POST G	REEN		567713		911a2a90-25b0-cf93-e814-46a5c8933a95
393	ENG ZEC-U1005	ROLAND 45 DEGREE CUTTING BLADE		ROLAND 45 DEGREE CUTTING	BLADE		334769		911a2a90-25b0-cf93-e814-46a5000a5595
394	ENG ZEC-U3010	ROLAND 60 DEGREE CUTTING BLADE		ROLAND 60 DEGREE CUTTING	BLADE		334770		911a2a90-25b0-cf93-e814-46a508886f95
395	ENG ZHPJR	#5 JUNIOR PUNCH SET		#5 JUNIOR PUNCH SET			906378		911a2a90-25b0-cf93-e814-46a588508b95
