extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
617	JER 29P/SFOR/M	SAFETY ORANGE POCKET TEE		SAFETY ORANGE POCKET TEE			903979		911a2a90-25b0-cf93-e814-4ea5d061ca40
618	JER 29P/SFOR/S	SAFETY ORANGE POCKET TEE		SAFETY ORANGE POCKET TEE			792544		911a2a90-25b0-cf93-e814-4ea568b5e340
619	JER 29P/SFOR/XL	SAFETY ORANGE POCKET TEE		SAFETY ORANGE POCKET TEE			904230		911a2a90-25b0-cf93-e814-4ea588eafc40
620	JER 29P/TR/2X	TRUE RED POCKET TEE		TRUE RED POCKET TEE			767939		911a2a90-25b0-cf93-e814-4ea500d71541
621	JER 29P/TR/3X	TRUE RED POCKET TEE		TRUE RED POCKET TEE			767940		911a2a90-25b0-cf93-e814-4ea5b0073041
622	JER 29P/TR/S	TRUE RED S/S POCKET TEE		TRUE RED S/S POCKET TEE			952464		911a2a90-25b0-cf93-e814-4ea500994941
623	JER 29P/TR/XL	TRUE RED POCKET TEE		TRUE RED POCKET TEE			904201		911a2a90-25b0-cf93-e814-4ea568c26241
624	JER 29SR/AH/L	ATHLETIC HEATHER SHOOTER TEE		ATHLETIC HEATHER SHOOTER	TEE		213710		911a2a90-25b0-cf93-e814-4ea558447d41
625	JER 29SR/AH/XL	ATHLETIC HEATHER SHOOTER TEE		ATHLETIC HEATHER SHOOTER	TEE		213706		911a2a90-25b0-cf93-e814-4ea538359841
626	JER 29SR/AS/L	ASH DRI-POWER SHOOTER TE E		ASH DRI-POWER SHOOTER TE	E		173358		911a2a90-25b0-cf93-e814-4ea5f80fb241
627	JER 29SR/BH/L	BLACK HTR DRI-POWER SHOO TER TEE		BLACK HTR DRI-POWER SHOO	TER TEE		180985		911a2a90-25b0-cf93-e814-4ea5f8ddca41
628	JER 29SR/NV/L	J NAVY DRI-POWER SHOOTER TEE		J NAVY DRI-POWER SHOOTER	TEE		173366		911a2a90-25b0-cf93-e814-4ea5c87be441
629	JER 29SR/RO/L	ROYAL DRI-POWER SHOOTER TEE		ROYAL DRI-POWER SHOOTER	TEE		173369		911a2a90-25b0-cf93-e814-4ea500c6fd41
630	JER 29SR/WH/2X	WHITE SHOOTER TEE		WHITE SHOOTER TEE			349310		911a2a90-25b0-cf93-e814-4ea5189d1842
631	JER 29SR/WH/L	WHITE SHOOTER TEE		WHITE SHOOTER TEE			349308		911a2a90-25b0-cf93-e814-4ea5c0e53142
632	JER 29SR/WH/M	WHITE SHOOTER TEE		WHITE SHOOTER TEE			349306		911a2a90-25b0-cf93-e814-4ea558e84b42
633	JER 29SR/WH/XL	WHITE SHOOTER TEE		WHITE SHOOTER TEE			349309		911a2a90-25b0-cf93-e814-4ea580316742
634	JER 29W/OX/2X	OXFORD LADIES TEE		OXFORD LADIES TEE			54755		911a2a90-25b0-cf93-e814-4ea508c28042
635	JER 29W/OX/L	OXFORD LADIES TEE		OXFORD LADIES TEE			54752		911a2a90-25b0-cf93-e814-4ea580da9a42
636	JER 29W/OX/M	OXFORD LADIES TEE		OXFORD LADIES TEE			54751		911a2a90-25b0-cf93-e814-4ea5a0c4b342
637	JER 29W/OX/XL	OXFORD LADIES TEE		OXFORD LADIES TEE			54753		911a2a90-25b0-cf93-e814-4ea5682fcc42
638	JER 29WR/BK/3X	BLACK LADIES TEE		BLACK LADIES TEE			283		911a2a90-25b0-cf93-e814-4ea58044e542
639	JER 29WR/BK/L	BLACK LADIES TEE		BLACK LADIES TEE			281		911a2a90-25b0-cf93-e814-4ea5403efe42
640	JER 29WR/BK/M	BLACK LADIES TEE		BLACK LADIES TEE			280		911a2a90-25b0-cf93-e814-4ea508771643
641	JER 29WR/BK/S	BLACK LADIES TEE		BLACK LADIES TEE			278		911a2a90-25b0-cf93-e814-4ea5f0162f43
642	JER 29WR/BK/XL	BLACK LADIES TEE		BLACK LADIES TEE			282		911a2a90-25b0-cf93-e814-4ea518bd4743
643	JER 300/NV/XL	NAVY POLO		NAVY POLO			8937		911a2a90-25b0-cf93-e814-4ea5b8816043
644	JER 337W/NV/L	NAVY LADIES V-NECK POLO		NAVY LADIES V-NECK POLO			220850		911a2a90-25b0-cf93-e814-4ea5c0ba7943
645	JER 337W/NV/M	NAVY LADIES V-NECK POLO		NAVY LADIES V-NECK POLO			220849		911a2a90-25b0-cf93-e814-4ea5b0879443
646	JER 363/AS/XL	ASH TEE		ASH TEE			234760		911a2a90-25b0-cf93-e814-4ea57869ae43
647	JER 363/BK/L	BLACK TEE		BLACK TEE			911173		911a2a90-25b0-cf93-e814-4ea54820c843
648	JER 363/BK/XL	BLACK TEE		BLACK TEE			911174		911a2a90-25b0-cf93-e814-4ea5a06de143
649	JER 363/RD/2XL	TRUE RED TEE		TRUE RED TEE			911169		911a2a90-25b0-cf93-e814-4ea5880efe43
650	JER 363/RD/3X	TRUE RED TEE		TRUE RED TEE			911170		911a2a90-25b0-cf93-e814-4ea5e8491744
651	JER 363/RD/L	TRUE RED TEE		TRUE RED TEE			911166		911a2a90-25b0-cf93-e814-4ea5a08d2f44
652	JER 363/RD/XL	TRUE RED TEE		TRUE RED TEE			911167		911a2a90-25b0-cf93-e814-4ea548a44844
653	JER 363/SCB/L	SCUBA BLUE CLASSIC S/S T EE		SCUBA BLUE CLASSIC S/S T	EE		1071068		911a2a90-25b0-cf93-e814-4ea5c8656144
654	JER 363/SCB/M	SCUBA BLUE CLASSIC S/S T EE		SCUBA BLUE CLASSIC S/S T	EE		1071069		911a2a90-25b0-cf93-e814-4ea5d80f7a44
655	JER 363/SCB/S	SCUBA BLUE CLASSIC S/S T EE		SCUBA BLUE CLASSIC S/S T	EE		1071071		911a2a90-25b0-cf93-e814-4ea508409244
656	JER 363/SCB/XL	SCUBA BLUE CLASSIC S/S T EE		SCUBA BLUE CLASSIC S/S T	EE		1071065		911a2a90-25b0-cf93-e814-4ea53069aa44
657	JER 363B/AH/M	ATHLETIC HEATHER YOUTH T EE		ATHLETIC HEATHER YOUTH T	EE		904388		911a2a90-25b0-cf93-e814-4ea5b8dac444
658	JER 363B/AH/XL	ATHLETIC HEATHER YOUTH T EE		ATHLETIC HEATHER YOUTH T	EE		904389		911a2a90-25b0-cf93-e814-4ea5f0d3de44
659	JER 363B/LB/L	LIGHT BLUE YOUTH TEE		LIGHT BLUE YOUTH TEE			904396		911a2a90-25b0-cf93-e814-4ea5e05bf844
660	JER 363B/LB/S	LIGHT BLUE YOUTH TEE		LIGHT BLUE YOUTH TEE			904392		911a2a90-25b0-cf93-e814-4ea5c0ee1145
661	JER 363B/LB/XL	LIGHT BLUE YOUTH TEE		LIGHT BLUE YOUTH TEE			904397		911a2a90-25b0-cf93-e814-4ea560692e45
662	JER 363B/RD/L	TRUE RED YOUTH TEE		TRUE RED YOUTH TEE			907836		911a2a90-25b0-cf93-e814-4ea588a54745
663	JER 363B/RD/S	TRUE RED YOUTH TEE		TRUE RED YOUTH TEE			950839		911a2a90-25b0-cf93-e814-4ea560636145
664	JER 363B/RD/XL	RED YOUTH TEE		RED YOUTH TEE			904398		911a2a90-25b0-cf93-e814-4ea570dc7d45
665	JER 363B/RD/XS	TRUE RED YOUTH TEE		TRUE RED YOUTH TEE			950838		911a2a90-25b0-cf93-e814-4ea5e8139745
666	JER 363B/SCB/M	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071077		911a2a90-25b0-cf93-e814-4ea5e03eb045
667	JER 363B/SCB/S	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071079		911a2a90-25b0-cf93-e814-4ea5d07bc945
668	JER 363B/SCB/XL	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071074		911a2a90-25b0-cf93-e814-4ea558c1e245
669	JER 363LS/RB/XL	ROYAL BLUE L/S TEE		ROYAL BLUE L/S TEE			924693		911a2a90-25b0-cf93-e814-4ea55819fe45
670	JER 363LS/WH/2X	WHITE L/S TEE		WHITE L/S TEE			820752		911a2a90-25b0-cf93-e814-4ea5283a1746
671	JER 363P/NV/XL	NAVY POCKET TEE		NAVY POCKET TEE			858365		911a2a90-25b0-cf93-e814-4ea5504b3346
672	JER 363Y/SCB/M	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071328		911a2a90-25b0-cf93-e814-4ea550e74b46
673	JER 363Y/SCB/S	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071327		911a2a90-25b0-cf93-e814-4ea520a46446
674	JER 363Y/SCB/XL	SCUBA BLUE YOUTH S/S TEE		SCUBA BLUE YOUTH S/S TEE			1071329		911a2a90-25b0-cf93-e814-4ea5c0687d46
675	JER 436/BI/L	BIRCH GOLF SHIRT WITH PO CKET		BIRCH GOLF SHIRT WITH PO	CKET		171484		911a2a90-25b0-cf93-e814-4ea560149646
676	JER 436MP/BK/L	BLACK S/S POCKET POLO		BLACK S/S POCKET POLO			872606		911a2a90-25b0-cf93-e814-4ea5b899ae46
677	JER 436MP/NV/3X	NAVY GOLF SHIRT WITH POC KET		NAVY GOLF SHIRT WITH POC	KET		143407		911a2a90-25b0-cf93-e814-4ea59800c746
678	JER 436MP/NV/L	NAVY GOLF SHIRT WITH POC KET		NAVY GOLF SHIRT WITH POC	KET		143404		911a2a90-25b0-cf93-e814-4ea5084ae046
679	JER 436MP/NV/M	NAVY GOLF SHIRT WITH POC KET		NAVY GOLF SHIRT WITH POC	KET		143403		911a2a90-25b0-cf93-e814-4ea5908ff946
680	JER 436MP/RD/2X	TRUE RED POCKET SS POLO		TRUE RED POCKET SS POLO			790849		911a2a90-25b0-cf93-e814-4ea580cc1247
681	JER 436MP/RD/L	TRUE RED S/S POCKET POLO		TRUE RED S/S POCKET POLO			872604		911a2a90-25b0-cf93-e814-4ea548ff2b47
682	JER 436P/BK/2X	BLACK SPOTSHIELD POCKET POLO		BLACK SPOTSHIELD POCKET	POLO		877012		911a2a90-25b0-cf93-e814-4ea580b34447
683	JER 436P/BK/XL	BLACK POCKET POLO		BLACK POCKET POLO			85239		911a2a90-25b0-cf93-e814-4ea5f07f5d47
684	JER 436P/MA/XL	MAROON POCKET POLO		MAROON POCKET POLO			137221		911a2a90-25b0-cf93-e814-4ea528347647
685	JER 436P/NV/XL	J NAVY POCKET POLO		J NAVY POCKET POLO			137222		911a2a90-25b0-cf93-e814-4ea590c78e47
686	JER 436P/SFGR/L	SAFETY GREEN POCKET POLO		SAFETY GREEN POCKET POLO			756208		911a2a90-25b0-cf93-e814-4ea5e865a747
687	JER 436P/SFGR/XL	SAFETY GREEN POCKET POLO		SAFETY GREEN POCKET POLO			756210		911a2a90-25b0-cf93-e814-4ea5d005c047
688	JER 437/AS/L	ASH S/S POLO		ASH S/S POLO			757358		911a2a90-25b0-cf93-e814-4ea550c7d847
689	JER 437/BK/L	BLACK SPOTSHIELD POLO		BLACK SPOTSHIELD POLO			942612		911a2a90-25b0-cf93-e814-4ea55851f147
690	JER 437/BK/M	BLACK POLO		BLACK POLO			942611		911a2a90-25b0-cf93-e814-4ea510950948
691	JER 437/BK/S	BLACK POLO		BLACK POLO			942610		911a2a90-25b0-cf93-e814-4ea5f02d2248
692	JER 437/BK/XL	BLACK POLO		BLACK POLO			942613		911a2a90-25b0-cf93-e814-4ea588363b48
693	JER 437/CB/4X	CALIFORNIA BLUE SPOTSHIE LD POLO		CALIFORNIA BLUE SPOTSHIE	LD POLO		529635		911a2a90-25b0-cf93-e814-4ea520715448
694	JER 437/CB/L	CALIFORNIA BLUE SPOTSHIE LD POLO		CALIFORNIA BLUE SPOTSHIE	LD POLO		528879		911a2a90-25b0-cf93-e814-4ea598c16d48
695	JER 437/CB/M	CALIFORNIA BLUE SPOTSHIE LD POLO		CALIFORNIA BLUE SPOTSHIE	LD POLO		528877		911a2a90-25b0-cf93-e814-54a540a63f4d
696	JER 437/CB/XL	CALIFORNIA BLUE SPOTSHIE LD POLO		CALIFORNIA BLUE SPOTSHIE	LD POLO		528880		911a2a90-25b0-cf93-e814-4ea5e0008748
697	JER 437/CG/2X	CHARCOAL GREY S/S POLO		CHARCOAL GREY S/S POLO			973846		911a2a90-25b0-cf93-e814-4ea580c59f48
698	JER 437/CG/L	CHARCOAL GREY S/S POLO		CHARCOAL GREY S/S POLO			973849		911a2a90-25b0-cf93-e814-4ea560f4b848
699	JER 437/CG/M	CHARCOAL GREY S/S POLO		CHARCOAL GREY S/S POLO			973850		911a2a90-25b0-cf93-e814-4ea57809d248
700	JER 437/CG/S	CHARCOAL GREY S/S POLO		CHARCOAL GREY S/S POLO			973852		911a2a90-25b0-cf93-e814-4ea53015eb48
701	JER 437/CG/XL	CHARCOAL GREY S/S POLO		CHARCOAL GREY S/S POLO			973848		911a2a90-25b0-cf93-e814-4ea588170449
702	JER 437/CH/XL	CHARCOAL GY SPORTSHIELD POLO		CHARCOAL GY SPORTSHIELD	POLO		622267		911a2a90-25b0-cf93-e814-4ea5b8471c49
703	JER 437/DP/2X	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230949		911a2a90-25b0-cf93-e814-4ea528783549
704	JER 437/DP/3X	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230950		911a2a90-25b0-cf93-e814-4ea5c0994e49
705	JER 437/DP/L	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230947		911a2a90-25b0-cf93-e814-4ea5f0346a49
706	JER 437/DP/M	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230946		911a2a90-25b0-cf93-e814-4ea5604c8349
707	JER 437/DP/S	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230945		911a2a90-25b0-cf93-e814-4ea5a06b9c49
708	JER 437/DP/XL	DEEP PURPLE SPOTSHIELD P OLO		DEEP PURPLE SPOTSHIELD P	OLO		230948		911a2a90-25b0-cf93-e814-4ea518b1d449
709	JER 437/FG/2X	FOREST GREEN SPOTSHIELD POLO		FOREST GREEN SPOTSHIELD	POLO		481211		911a2a90-25b0-cf93-e814-4ea51060f149
710	JER 437/FG/XL	FOREST GREEN SPOTSHIELD POLO		FOREST GREEN SPOTSHIELD	POLO		481209		911a2a90-25b0-cf93-e814-4ea570e60a4a
711	JER 437/KL/S	KELLY GREEN S/S POLO		KELLY GREEN S/S POLO			757354		911a2a90-25b0-cf93-e814-4ea5e8fe244a
712	JER 437/KL/XL	KELLY DRI-POWER POLO		KELLY DRI-POWER POLO			1059002		911a2a90-25b0-cf93-e814-4ea5b8063e4a
713	JER 437/LB/L	LIGHT BLUE S/S POLO		LIGHT BLUE S/S POLO			757357		911a2a90-25b0-cf93-e814-4ea5d822574a
714	JER 437/LB/S	LIGHT BLUE S/S POLO		LIGHT BLUE S/S POLO			757356		911a2a90-25b0-cf93-e814-4ea538fa6f4a
715	JER 437/MA/2X	MAROON SPOTSHIELD POLO		MAROON SPOTSHIELD POLO			485768		911a2a90-25b0-cf93-e814-4ea5b095894a
