extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
918	HNS P360/RD/L	DEEP RED YOUTH HOODIE		DEEP RED YOUTH HOODIE			485268		911a2a90-25b0-cf93-e814-4ca520924033
919	HNS P360/RD/S	DEEP RED YOUTH HOODIE		DEEP RED YOUTH HOODIE			485267		911a2a90-25b0-cf93-e814-4ca5888a5d33
920	HNS P473/DF/M	DEEP FOREST YOUTH HOODIE		DEEP FOREST YOUTH HOODIE			867374		911a2a90-25b0-cf93-e814-4ca5a8307933
921	HNS P473/DF/S	DEEP FOREST YOUTH HOODIE		DEEP FOREST YOUTH HOODIE			867372		911a2a90-25b0-cf93-e814-4ca510f09233
922	HNS P473/HB/L	HEATHER BLUE YOUTH HOODI E		HEATHER BLUE YOUTH HOODI	E		545075		911a2a90-25b0-cf93-e814-4ca5100bb433
923	HNS P473/HB/M	HEATHER BLUE YOUTH HOODI E		HEATHER BLUE YOUTH HOODI	E		545074		911a2a90-25b0-cf93-e814-4ca5d075cf33
924	HNS P473/HB/S	HEATHER BLUE YOUTH HOODI E		HEATHER BLUE YOUTH HOODI	E		545073		911a2a90-25b0-cf93-e814-4ca540a7ec33
925	HNS P473/HB/XL	HEATHER BLUE YOUTH HOODI E		HEATHER BLUE YOUTH HOODI	E		545076		911a2a90-25b0-cf93-e814-4ca5e08c0c34
926	HNS P473/HB/XS	HEATHER BLUE YOUTH HOODI E		HEATHER BLUE YOUTH HOODI	E		545072		911a2a90-25b0-cf93-e814-4ca578522c34
927	HNS P473/NV/XL	NAVY YOUTH HOODIE		NAVY YOUTH HOODIE			312511		911a2a90-25b0-cf93-e814-4ca5d0244d34
928	HNS P473/TL/L	TEAL YOUTH HOODIE		TEAL YOUTH HOODIE			545986		911a2a90-25b0-cf93-e814-4ca598db6934
929	HNS P473/TL/S	TEAL YOUTH HOODIE		TEAL YOUTH HOODIE			545985		911a2a90-25b0-cf93-e814-4ca5f0938634
930	HNS P473/WH/S	WHITE YOUTH HOODIE		WHITE YOUTH HOODIE			997683		911a2a90-25b0-cf93-e814-4ca5488aa134
931	HNS P480/BK/XL	BLACK YOUTH FULL ZIP HOO DIE		BLACK YOUTH FULL ZIP HOO	DIE		604866		911a2a90-25b0-cf93-e814-4ca500faba34
932	HNS P480/DR/XS	DEEP ROYAL YOUTH FULL ZI P HOODIE		DEEP ROYAL YOUTH FULL ZI	P HOODIE		743739		911a2a90-25b0-cf93-e814-4ca5886bd534
933	HNS P480/NV/S	NAVY YOUTH FULL ZIP HOOD IE		NAVY YOUTH FULL ZIP HOOD	IE		735565		911a2a90-25b0-cf93-e814-4ca59855f434
934	HNS P650/BK/S	BLACK ECOSMART SWEATPANT		BLACK ECOSMART SWEATPANT			583019		911a2a90-25b0-cf93-e814-4ca5705f1235
935	HNS S04V/BK/2X	BLACK WOMENS NANO V-NECK		BLACK WOMENS NANO V-NECK			483675		911a2a90-25b0-cf93-e814-4ca5f0aa2d35
936	HNS S04V/BK/S	BLACK WOMENS NANO V-NECK		BLACK WOMENS NANO V-NECK			483671		911a2a90-25b0-cf93-e814-4ca5a8594935
937	HNS S04V/BK/XL	BLACK WOMENS NANO V-NECK		BLACK WOMENS NANO V-NECK			483673		911a2a90-25b0-cf93-e814-4ca500d36335
938	HNS S04V/DF/2X	DEEP FOREST WOMENS NANO V-NECK		DEEP FOREST WOMENS NANO	V-NECK		907609		911a2a90-25b0-cf93-e814-4ca588707f35
939	HNS S04V/DR/2X	DEEP ROYAL WOMENS NANO V -NECK		DEEP ROYAL WOMENS NANO V	-NECK		923096		911a2a90-25b0-cf93-e814-4ca568619a35
