extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
3026	GIL 500B/OR/XL	ORANGE YOUTH TEE		ORANGE YOUTH TEE			42011		911a2a90-25b0-cf93-e814-4aa5e0f4b73b
3027	GIL 500B/OR/XS	ORANGE YOUTH TEE		ORANGE YOUTH TEE			42007		911a2a90-25b0-cf93-e814-4aa56046d23b
3028	GIL 500B/PU/L	PURPLE YOUTH TEE		PURPLE YOUTH TEE			384380		911a2a90-25b0-cf93-e814-4aa548a8ec3b
3029	GIL 500B/PU/M	PURPLE YOUTH TEE		PURPLE YOUTH TEE			808304		911a2a90-25b0-cf93-e814-4aa5c07b053c
3030	GIL 500B/PU/S	PURPLE YOUTH TEE		PURPLE YOUTH TEE			808303		911a2a90-25b0-cf93-e814-4aa500501e3c
3031	GIL 500B/RD/L	RED YOUTH TEE		RED YOUTH TEE			904842		911a2a90-25b0-cf93-e814-4aa5c07b373c
3032	GIL 500B/RD/M	RED YOUTH TEE		RED YOUTH TEE			904841		911a2a90-25b0-cf93-e814-4aa5302f503c
3033	GIL 500B/RD/S	RED YOUTH TEE		RED YOUTH TEE			904840		911a2a90-25b0-cf93-e814-4aa5e020683c
3034	GIL 500B/RD/XL	RED YOUTH TEE		RED YOUTH TEE			847343		911a2a90-25b0-cf93-e814-4aa59864803c
3035	GIL 500B/RD/XS	RED YOUTH TEE		RED YOUTH TEE			904838		911a2a90-25b0-cf93-e814-4aa5f05a9b3c
3036	GIL 500B/RO/L	ROYAL YOUTH TEE		ROYAL YOUTH TEE			366278		911a2a90-25b0-cf93-e814-4aa550c8b43c
3037	GIL 500B/RO/M	ROYAL YOUTH S/S TEE		ROYAL YOUTH S/S TEE			914597		911a2a90-25b0-cf93-e814-4aa5a87fcd3c
3038	GIL 500B/RO/S	ROYAL YOUTH S/S TEE		ROYAL YOUTH S/S TEE			914599		911a2a90-25b0-cf93-e814-4aa58818e63c
3039	GIL 500B/RO/XL	ROYAL YOUTH TEE		ROYAL YOUTH TEE			366279		911a2a90-25b0-cf93-e814-4aa54024ff3c
3040	GIL 500B/SA/L	SAPPHIRE YOUTH S/S TEE		SAPPHIRE YOUTH S/S TEE			1086658		911a2a90-25b0-cf93-e814-4aa53035173d
3041	GIL 500B/SA/M	SAPPHIRE YOUTH TEE		SAPPHIRE YOUTH TEE			469306		911a2a90-25b0-cf93-e814-4aa5c80b303d
3042	GIL 500B/SA/S	SAPPHIRE YOUTH TEE		SAPPHIRE YOUTH TEE			469308		911a2a90-25b0-cf93-e814-4aa530b8483d
3043	GIL 500B/SA/XS	SAPPHIRE YOUTH S/S TEE		SAPPHIRE YOUTH S/S TEE			1086659		911a2a90-25b0-cf93-e814-4aa59832613d
3044	GIL 500B/SD/L	SAND YOUTH TEE		SAND YOUTH TEE			198045		911a2a90-25b0-cf93-e814-4aa5a8aa793d
3045	GIL 500B/SD/M	SAND YOUTH TEE		SAND YOUTH TEE			198044		911a2a90-25b0-cf93-e814-4aa57047923d
3046	GIL 500B/SD/S	SAND YOUTH TEE		SAND YOUTH TEE			198043		911a2a90-25b0-cf93-e814-4aa5c0ccad3d
3047	GIL 500B/SFGR/L	SAFETY GREEN YOUTH S/S T EE		SAFETY GREEN YOUTH S/S T	EE		847318		911a2a90-25b0-cf93-e814-4aa5f82fc73d
3048	GIL 500B/SFGR/M	SAFETY GREEN YOUTH TEE		SAFETY GREEN YOUTH TEE			649240		911a2a90-25b0-cf93-e814-4aa5681bdf3d
3049	GIL 500B/SFGR/S	SAFETY GREEN YOUTH TEE		SAFETY GREEN YOUTH TEE			512627		911a2a90-25b0-cf93-e814-4aa5a8b8fc3d
3050	GIL 500B/SFGR/XL	SAFETY GREEN YOUTH S/S T EE		SAFETY GREEN YOUTH S/S T	EE		768019		911a2a90-25b0-cf93-e814-4aa5d8921a3e
3051	GIL 500B/SFOR/L	SAFETY ORANGE YOUTH TEE		SAFETY ORANGE YOUTH TEE			816833		911a2a90-25b0-cf93-e814-4aa5d88c343e
3052	GIL 500B/SFOR/M	SAFETY ORANGE YOUTH TEE		SAFETY ORANGE YOUTH TEE			816832		911a2a90-25b0-cf93-e814-4aa5002d4e3e
3053	GIL 500B/SFOR/S	SAFETY ORANGE YOUTH TEE		SAFETY ORANGE YOUTH TEE			816831		911a2a90-25b0-cf93-e814-4aa540e2673e
3054	GIL 500B/SFOR/XL	SAFETY ORANGE YOUTH TEE		SAFETY ORANGE YOUTH TEE			816835		911a2a90-25b0-cf93-e814-4aa5f03e833e
3055	GIL 500B/SFPK/L	SAFETY PINK YOUTH S/S TE E		SAFETY PINK YOUTH S/S TE	E		768034		911a2a90-25b0-cf93-e814-4aa518aea03e
3056	GIL 500B/SFPK/M	SAFETY PINK YOUTH S/S TE E		SAFETY PINK YOUTH S/S TE	E		768031		911a2a90-25b0-cf93-e814-4aa5b0fbba3e
3057	GIL 500B/SFPK/S	SAFETY PINK YOUTH S/S TE E		SAFETY PINK YOUTH S/S TE	E		768030		911a2a90-25b0-cf93-e814-4aa520cfd63e
3058	GIL 500B/SFPK/XL	SAFETY PINK YOUTH S/S TE E		SAFETY PINK YOUTH S/S TE	E		1115049		911a2a90-25b0-cf93-e814-4aa59896f13e
3059	GIL 500B/SG/L	SPORT GREY YOUTH TEE		SPORT GREY YOUTH TEE			938216		911a2a90-25b0-cf93-e814-4aa5306e0e3f
3060	GIL 500B/SG/M	SPORT GREY YOUTH TEE		SPORT GREY YOUTH TEE			938215		911a2a90-25b0-cf93-e814-4aa5080d293f
3061	GIL 500B/SG/S	SPORT GREY YOUTH TEE		SPORT GREY YOUTH TEE			938214		911a2a90-25b0-cf93-e814-4aa5e047433f
3062	GIL 500B/SG/XL	SPORT GREY YOUTH TEE		SPORT GREY YOUTH TEE			938217		911a2a90-25b0-cf93-e814-4aa548075d3f
3063	GIL 500B/SG/XS	SPORTS GREY YOUTH S/S TE E		SPORTS GREY YOUTH S/S TE	E		1086660		911a2a90-25b0-cf93-e814-4aa57818763f
3064	GIL 500B/SK/L	SKY YOUTH HEAVY COTTON S /S TEE		SKY YOUTH HEAVY COTTON S	/S TEE		1025202		911a2a90-25b0-cf93-e814-4aa528818f3f
3065	GIL 500B/SK/M	SKY YOUTH TEE		SKY YOUTH TEE			390659		911a2a90-25b0-cf93-e814-4aa5c000aa3f
