extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
241,APP GK350-400-N,3-1/2-4 NEOPRENE GASKET,,3-1/2-4 NEOPRENE GASKET,,"gk350 400 n 3 1 2 4 neoprene gasket 846356 4"" neopr form 35 unilet neo gskt to """" or inch",846356,,b95d65c6-81a4-73a6-d314-d8e70020b5f0,846356,"gk350 400 n 3 1 2 4 neoprene gasket 4"" neopr form 35 unilet neo gskt to """" or inch",no,
242,APP GRC100,1  GR UNILET TYPE C NDULET,,1  GR UNILET TYPE C,NDULET,grc100 1 gr unilet type c ndulet 18108 explosion proof prf ma,18108,,b95d65c6-81a4-73a6-d314-d8e74836f2f0,18108,grc100 1 gr unilet type c ndulet explosion proof prf ma,no,
243,APP GRC150,1 12 GR UNILET L CONDULE,,1 12 GR UNILET,L CONDULE,grc150 1 12 gr unilet l condule 341558 2 explosion proof prf tyre,341558,,b95d65c6-81a4-73a6-d314-d8e780e02df1,341558,grc150 1 12 gr unilet l condule 2 explosion proof prf tyre,no,
244,APP GRC200,2  GR UNILET NDULET,,2  GR UNILET,NDULET,grc200 2 gr unilet ndulet 341559 explosion proof prf type c ma,341559,,b95d65c6-81a4-73a6-d314-d8e710b866f1,341559,grc200 2 gr unilet ndulet explosion proof prf type c ma,no,
245,APP GRC50,12  GR UNILET TYPE C CONDULET,,12  GR UNILET TYPE C,CONDULET,grc50 12 gr unilet type c condulet 341557 1 2 explosion proof prf m style mogul,341557,,b95d65c6-81a4-73a6-d314-d8e7a04bbbf1,341557,grc50 12 gr unilet type c condulet 1 2 explosion proof prf m style mogul,no,
246,APP GRC75,34 GR UNILET TYPE C CONDULET,,34 GR UNILET TYPE C,CONDULET,grc75 34 gr unilet type c condulet 18107 3 4 explosion proof prf m style mogul,18107,,b95d65c6-81a4-73a6-d314-d8e740df22f2,18107,grc75 34 gr unilet type c condulet 3 4 explosion proof prf m style mogul,no,
247,APP GRL100,1 GR UNILET NDULET,,1 GR UNILET,NDULET,grl100 1 gr unilet ndulet 93653 explosion proof prf type l ma,93653,,b95d65c6-81a4-73a6-d314-d8e740fb79f2,93653,grl100 1 gr unilet ndulet explosion proof prf type l ma,no,
248,APP GRL150,1 12 UNILET L CONDULET,,1 12 UNILET,L CONDULET,grl150 1 12 unilet l condulet 341562 2 explosion proof prf type,341562,,b95d65c6-81a4-73a6-d314-d8e7c003cef2,341562,grl150 1 12 unilet l condulet 2 explosion proof prf type,no,
249,APP GRL75,34 GRL UNILET CONDULET,,34 GRL UNILET,CONDULET,grl75 34 grl unilet condulet 18111 3 4 explosion proof prf type l m style mogul,18111,,b95d65c6-81a4-73a6-d314-d8e7786103f3,18111,grl75 34 grl unilet condulet 3 4 explosion proof prf type l m style mogul,no,
250,APP GRLB100,1 GR UNILET ONDULET,,1 GR UNILET,ONDULET,grlb100 1 gr unilet ondulet 100046 explosion proof prf type lb,100046,,b95d65c6-81a4-73a6-d314-d8e7d8634bf3,100046,grlb100 1 gr unilet ondulet explosion proof prf type lb,no,
