extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
135,ALT 5308-511,PG11 CORD GRIP 3.5-10mm CABLE BLK,,PG11 CORD GRIP 3.5-10mm,CABLE BLK,5308 511 pg11 cord grip 3.5 10mm cable blk 3. 60986,60986,,b95d65c6-81a4-73a6-d314-d7e7181810fa,60986,5308 511 pg11 cord grip 3.5 10mm cable blk 3.,no,
136,ALT 5308-521,PG12 CORD GRIP 9-18mm CA BLE BLACK,,PG12 CORD GRIP 9-18mm CA,BLE BLACK,5308 521 pg12 cord grip 9 18mm cable black 60989,60989,,b95d65c6-81a4-73a6-d314-d7e7582d4cfa,60989,5308 521 pg12 cord grip 9 18mm cable black,no,
137,ALT 5308-707,PG7 CORD GRIP 2.5-6.5mm CABLE LT G,,PG7 CORD GRIP 2.5-6.5mm,CABLE LT G,5308 707 pg7 cord grip 2.5 6.5mm cable lt light gray g 60991,60991,,b95d65c6-81a4-73a6-d314-d7e788a779fa,60991,5308 707 pg7 cord grip 2.5 6.5mm cable lt light gray g,no,
138,ALT 5308-709,PG9 CORD GRIP 2.5-8mm CA BLE LT GRY,,PG9 CORD GRIP 2.5-8mm CA,BLE LT GRY,5308 709 pg9 cord grip 2.5 8mm cable lt light gray gry 60992,60992,,b95d65c6-81a4-73a6-d314-d7e7b0f6acfa,60992,5308 709 pg9 cord grip 2.5 8mm cable lt light gray gry,no,
139,ALT 5308-711,PG11 CORD GRIP 3.5-10mm CABLE LT G,,PG11 CORD GRIP 3.5-10mm,CABLE LT G,5308 711 pg11 cord grip 3.5 10mm cable lt light gray g 3. 60993,60993,,b95d65c6-81a4-73a6-d314-d7e70081a4fb,60993,5308 711 pg11 cord grip 3.5 10mm cable lt light gray g 3.,no,
140,ALT 5308-713,PG13.5 CORD GRIP 5-12mm CABLE LT G,,PG13.5 CORD GRIP 5-12mm,CABLE LT G,5308 713 pg13.5 cord grip 5 12mm cable lt light gray g 60994,60994,,b95d65c6-81a4-73a6-d314-d7e7f02fddfb,60994,5308 713 pg13.5 cord grip 5 12mm cable lt light gray g,no,
141,ALT 5308-716,PG16 CORD GRIP 7-14mm CA BLE LT GRY,,PG16 CORD GRIP 7-14mm CA,BLE LT GRY,5308 716 pg16 cord grip 7 14mm cable lt light gray gry 60996,60996,,b95d65c6-81a4-73a6-d314-d7e7289517fc,60996,5308 716 pg16 cord grip 7 14mm cable lt light gray gry,no,
142,ALT 5308-721,PG21 CORD GRIP 9-18mm CA BLE LT GRY,,PG21 CORD GRIP 9-18mm CA,BLE LT GRY,5308 721 pg21 cord grip 9 18mm cable lt light gray gry 60997,60997,,b95d65c6-81a4-73a6-d314-d7e7d8a664fc,60997,5308 721 pg21 cord grip 9 18mm cable lt light gray gry,no,
143,ALT 5308-900,NPT3/8 CORD GRIP 2.5-8mm CABLE LG,,NPT3/8 CORD GRIP 2.5-8mm,CABLE LG,5308 900 npt3 8 cord grip 2.5 8mm cable lg large 60998,60998,,b95d65c6-81a4-73a6-d314-d7e778e39bfc,60998,5308 900 npt3 8 cord grip 2.5 8mm cable lg large,no,
144,ALT 5308-901,NPT1/2 CORD GRIP 5-12mm CABLE LT G,,NPT1/2 CORD GRIP 5-12mm,CABLE LT G,5308 901 npt1 2 cord grip 5 12mm cable lt light gray g 60999,60999,,b95d65c6-81a4-73a6-d314-d7e72097d1fc,60999,5308 901 npt1 2 cord grip 5 12mm cable lt light gray g,no,
145,ALT 5308-902,NPT3/4 CORD GRIP 9-18mm CABLE BLK,,NPT3/4 CORD GRIP 9-18mm,CABLE BLK,5308 902 npt3 4 cord grip 9 18mm cable blk 61002,61002,,b95d65c6-81a4-73a6-d314-d7e7402b09fd,61002,5308 902 npt3 4 cord grip 9 18mm cable blk,no,
