extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
26,AMB 9338-ESK,3.5 RND 14 Cu. OLD WORK BOX W/BRA,,3.5 RND 14 Cu. OLD WORK,BOX W/BRA,"9338 esk 3.5 rnd round 14 cu. old work bx box w/ clamp bra 3.5"" o snap bmc ceiling 14cu 718112",718112,,b95d65c6-81a4-73a6-d314-d8e7d8a7bf13,718112,"9338 esk 3.5 rnd round 14 cu. old work bx box w/ clamp bra 3.5"" o snap bmc ceiling 14cu",no,
27,AMB 9343-NK,4SQ 32.3 Cu. NAIL-ON BOX 2.5 DEEP,,4SQ 32.3 Cu. NAIL-ON BOX,2.5 DEEP,"9343 nk nickle 4sq 32.3 cu. nail on box box 2.5 deep 4""sq junction bx 32.3cu 718115",718115,,b95d65c6-81a4-73a6-d314-d8e7d02cfc13,718115,"9343 nk nickle 4sq 32.3 cu. nail on box box 2.5 deep 4""sq junction bx 32.3cu",no,
28,AMB 9346,2G PLASTER RING 1/2 RISE,,2G PLASTER RING 1/2 RISE,,"9346 2g plaster ring 1 2 rise 2"" 413168",413168,,b95d65c6-81a4-73a6-d314-d8e7a84f3314,413168,"9346 2g plaster ring 1 2 rise 2""",no,
29,AMB 9350-BHK,4 RND BOX 22.5 Cu. W/24 ADJ. BAR,,4 RND BOX 22.5 Cu. W/24,ADJ. BAR,"9350 bhk 4 rnd round bx box 22.5 cu. w/ clamp 24 adj. bar 4"" c ceiling 22.5cu hanger k klamps 863202",863202,,b95d65c6-81a4-73a6-d314-d8e700086914,863202,"9350 bhk 4 rnd round bx box 22.5 cu. w/ clamp 24 adj. bar 4"" c ceiling 22.5cu hanger k klamps",no,
30,AMB 9350-FANB,4 RND FAN BOX 22.5 Cu. 1 6-24ADJ,,4 RND FAN BOX 22.5 Cu. 1,6-24ADJ,"9350 fanb 4 rnd round fan bx box 22.5 cu. 1 6 24adj 4"" 2 22.5cu w/ clamp new work bar bulk 678704",678704,,b95d65c6-81a4-73a6-d314-d8e7f0aabc14,678704,"9350 fanb 4 rnd round fan bx box 22.5 cu. 1 6 24adj 4"" 2 22.5cu w/ clamp new work bar bulk",no,
31,AMB 9351-NK,4 RND NAIL-ON BOX 22.5 C u. W/CLAMP,,4 RND NAIL-ON BOX 22.5 C,u. W/CLAMP,"9351 nk nickle 4 rnd round nail on box box 22.5 c u. w/ clamp 4"" ceiling bx 22.5cu k klamp 718135",718135,,b95d65c6-81a4-73a6-d314-d8e760c71b15,718135,"9351 nk nickle 4 rnd round nail on box box 22.5 c u. w/ clamp 4"" ceiling bx 22.5cu k klamp",no,
32,AMB 9351-NKFR,4 RND FAN/FIXTURE BOX 22 .5 Cu. (9351-NFR),,4 RND FAN/FIXTURE BOX 22,.5 Cu. (9351-NFR),"9351 nkfr 4 rnd round fan fixture bx box 22 .5 cu. nfr 4"" fixtu 22.5cu. 828210",828210,,b95d65c6-81a4-73a6-d314-d8e790736215,828210,"9351 nkfr 4 rnd round fan fixture bx box 22 .5 cu. nfr 4"" fixtu 22.5cu.",no,
33,AMB 9351=NK,4 RD BOX FIBERGLASS (UPC ),,4 RD BOX FIBERGLASS (UPC,),"9351=nk 4 rd bx box fiberglass upc 4"" fibergla 912240",912240,,b95d65c6-81a4-73a6-d314-d8e788d89b15,912240,"9351=nk 4 rd bx box fiberglass upc 4"" fibergla",no,
34,AMB 9361-ESK,1G 15.8 Cu. OLD WORK BOX W/SNAP BR,,1G 15.8 Cu. OLD WORK BOX,W/SNAP BR,9361 esk 1g 15.8 cu. old work bx box w/ clamp snap br single gang 15.8cu. 450276,450276,,b95d65c6-81a4-73a6-d314-d8e7e014d515,450276,9361 esk 1g 15.8 cu. old work bx box w/ clamp snap br single gang 15.8cu.,no,
35,AMB 9368-EWK,1G 18 Cu. OLD WORK BOX W /WINGS,,1G 18 Cu. OLD WORK BOX W,/WINGS,9368 ewk 1g 18 cu. old work bx box w/ clamp wings wor single gang 18.0cu. 718142,718142,,b95d65c6-81a4-73a6-d314-d8e7681e1116,718142,9368 ewk 1g 18 cu. old work bx box w/ clamp wings wor single gang 18.0cu.,no,
36,AMB AM1084L,10x8x4 FIBERGLASS ENC W/ LATCH,,10x8x4 FIBERGLASS ENC W/,LATCH,am1084l 10x8x4 fiberglass enclosure w/ clamp latch 123669,123669,,b95d65c6-81a4-73a6-d314-d8e7c802e219,123669,am1084l 10x8x4 fiberglass enclosure w/ clamp latch,no,
