extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
20,LEV 13654-SWP,120W 600V T5 LAMPHOLDER LOW PR,,120W 600V T5 LAMPHOLDER,LOW PR,13654 swp 120w 600v t5 lampholder low purple lam snap slide in mini base w post 72775,72775,,b95d65c6-81a4-73a6-d314-f6e728125b86,72775,13654 swp 120w 600v t5 lampholder low purple lam snap slide in mini base w post,no,
21,LEV 1447,2P3W RUBBER CORD END 15A /125V YL,,2P3W RUBBER CORD END 15A,/125V YL,1447 2p3w rubber cord end 15a 125v yellow dustguard plug 2po 3wi 272961,272961,,b95d65c6-81a4-73a6-d314-f6e7d8558f86,272961,1447 2p3w rubber cord end 15a 125v yellow dustguard plug 2po 3wi,no,
22,LEV 1448,2P3W 20A DUSTGUARD CORD CONN 250V YL,,2P3W 20A DUSTGUARD CORD,CONN 250V YL,1448 2p3w 20a dustguard cord conn 250v yellow co dust guard plug 2po 3wi 6 20p 20a250v 421319,421319,,b95d65c6-81a4-73a6-d314-f6e758f2c286,421319,1448 2p3w 20a dustguard cord conn 250v yellow co dust guard plug 2po 3wi 6 20p 20a250v,no,
23,LEV 1450R,50A FLSH MT HVY DUTY EV CHARGE REC,,50A FLSH MT HVY DUTY EV,CHARGE REC,1450r 50a flsh mt hvy duty ev charge rec nema 14 50r industrial grade receptacle 896139,896139,,b95d65c6-81a4-73a6-d314-f6e748650587,896139,1450r 50a flsh mt hvy duty ev charge rec nema 14 50r industrial grade receptacle,no,
24,LEV 1450W,50A FLSH MT WR HVY DUTY EV CHARGE REC,,50A FLSH MT WR HVY DUTY,EV CHARGE REC,1450w 50a flsh mt wr hvy duty ev charge rec d nema 14 50r industrial grade recept 896140,896140,,b95d65c6-81a4-73a6-d314-f6e7c8244887,896140,1450w 50a flsh mt wr hvy duty ev charge rec d nema 14 50r industrial grade recept,no,
25,LEV 1451-2,UL VERSION CP BR SW TGL SP,,UL VERSION CP BR SW TGL,SP,1451 2 ul version cp brown sw tgl sp 15a120vac 832463,832463,,b95d65c6-81a4-73a6-d314-f6e720a38f87,832463,1451 2 ul version cp brown sw tgl sp 15a120vac,no,
26,LEV 1451-2E,UL VERSION CP EB SW TGL SP 15A,,UL VERSION CP EB SW TGL,SP 15A,1451 2e ul version cp eb sw tgl sp 15a s 15a120vac 832441,832441,,b95d65c6-81a4-73a6-d314-f6e70812c587,832441,1451 2e ul version cp eb sw tgl sp 15a s 15a120vac,no,
27,LEV 1451-2I,SP AC QUIET SW WITH GROU NDING SCREW,,SP AC QUIET SW WITH GROU,NDING SCREW,1451 2i sp ac quiet sw with grou nding screw wit ul version cp iv tgl 15a120vac 190083,190083,,b95d65c6-81a4-73a6-d314-f6e74063fa87,190083,1451 2i sp ac quiet sw with grou nding screw wit ul version cp iv tgl 15a120vac,no,
28,LEV 1451-2T,UL VERSION CP LA SW TGL SP 15A,,UL VERSION CP LA SW TGL,SP 15A,1451 2t ul version cp la sw tgl sp 15a s 15a120vac 832497,832497,,b95d65c6-81a4-73a6-d314-f6e7382b3088,832497,1451 2t ul version cp la sw tgl sp 15a s 15a120vac,no,
29,LEV 1451-2W,UL VERSION CP WH SW TGL SP 15A,,UL VERSION CP WH SW TGL,SP 15A,1451 2w ul version cp white sw tgl sp 15a s 15a120vac 832438,832438,,b95d65c6-81a4-73a6-d314-f6e738f46688,832438,1451 2w ul version cp white sw tgl sp 15a s 15a120vac,no,
30,LEV 1451-CP,CP BULK 10/FB,,CP BULK 10/FB,,1451 cp bulk 10 fb 832440,832440,,b95d65c6-81a4-73a6-d314-f6e738b79e88,832440,1451 cp bulk 10 fb,no,
31,LEV 1451-ICP,ICP BULK 10/FB,,ICP BULK 10/FB,,1451 icp bulk 10 fb was 201 832498,832498,,b95d65c6-81a4-73a6-d314-f6e7f843de88,832498,1451 icp bulk 10 fb was 201,no,
32,LEV 1451-WBK,15A SP TOGGLE SWITCH BUL K PAC,,15A SP TOGGLE SWITCH BUL,K PAC,1451 wbk 15a sp toggle switch bul k pac swi bulk packed 100 832439,832439,,b95d65c6-81a4-73a6-d314-f6e7902a1e89,832439,1451 wbk 15a sp toggle switch bul k pac swi bulk packed 100,no,
33,LEV 1451-WCI,TOGGLE FRAMED SP AC QUIE T,,TOGGLE FRAMED SP AC QUIE,T,"1451 wci toggle framed sp ac quie t single pole quiet switch, white 832462",832462,,b95d65c6-81a4-73a6-d314-f6e7887a6789,832462,"1451 wci toggle framed sp ac quie t single pole quiet switch, white",no,
34,LEV 1451-WCP,WCP WHITE 10/FB-BULK,,WCP WHITE 10/FB-BULK,,1451 wcp white 10 fb bulk b 832500,832500,,b95d65c6-81a4-73a6-d314-f6e78001ac89,832500,1451 wcp white 10 fb bulk b,no,
35,LEV 1453-2,SW3 BR CP0/10/100,,SW3 BR CP0/10/100,,1453 2 sw3 brown cp0 10 100 832513,832513,,b95d65c6-81a4-73a6-d314-f6e7400ae889,832513,1453 2 sw3 brown cp0 10 100,no,
36,LEV 1453-2E,CP EB TGL 3W GRND SCR,,CP EB TGL 3W GRND SCR,,1453 2e cp eb tgl 3w grnd scr sw 15a120vac 832507,832507,,b95d65c6-81a4-73a6-d314-f6e788d72c8a,832507,1453 2e cp eb tgl 3w grnd scr sw 15a120vac,no,
37,LEV 1453-2I,CP IV SW TGL 3W GRND SCR,,CP IV SW TGL 3W GRND SCR,,1453 2i cp iv sw tgl 3w grnd scr gr 15a120vac 832517,832517,,b95d65c6-81a4-73a6-d314-f6e708ff668a,832517,1453 2i cp iv sw tgl 3w grnd scr gr 15a120vac,no,
38,LEV 1453-2T,CP LA SW TGL 3W GRND SCR,,CP LA SW TGL 3W GRND SCR,,1453 2t cp la sw tgl 3w grnd scr gr 15a120vac 832516,832516,,b95d65c6-81a4-73a6-d314-f6e7f8dcac8a,832516,1453 2t cp la sw tgl 3w grnd scr gr 15a120vac,no,
39,LEV 1453-2W,3-WAY AC QUIET SW WITH G ROUND SCREW,,3-WAY AC QUIET SW WITH G,ROUND SCREW,1453 2w 3 way ac quiet sw with g round screw cp white tgl 3w grnd scr 15a120vac 190082,190082,,b95d65c6-81a4-73a6-d314-f6e7a8eae98a,190082,1453 2w 3 way ac quiet sw with g round screw cp white tgl 3w grnd scr 15a120vac,no,
40,LEV 1453-CP,CP BR SW TGL 3W 15A,,CP BR SW TGL 3W 15A,,1453 cp brown sw tgl 3w 15a 15 15a120vac 832514,832514,,b95d65c6-81a4-73a6-d314-f6e7a8a7228b,832514,1453 cp brown sw tgl 3w 15a 15 15a120vac,no,
41,LEV 1453-ICP,CP IV SW TGL 3W 15A,,CP IV SW TGL 3W 15A,,1453 icp cp iv sw tgl 3w 15a 1 15a120vac 832508,832508,,b95d65c6-81a4-73a6-d314-f6e708df5d8b,832508,1453 icp cp iv sw tgl 3w 15a 1 15a120vac,no,
42,LEV 1453-WCP,CP WH SW TGL 3W 15A,,CP WH SW TGL 3W 15A,,1453 wcp cp white sw tgl 3w 15a 1 15a120vac 832511,832511,,b95d65c6-81a4-73a6-d314-f6e740399e8b,832511,1453 wcp cp white sw tgl 3w 15a 1 15a120vac,no,
43,LEV 1469-I,13A SWITCH CONTROL TAP ( 835-01469I),,13A SWITCH CONTROL TAP (,835-01469I),"1469 i 13a switch control tap 835 01469i 2 wire tap, ivory 900378",900378,,b95d65c6-81a4-73a6-d314-f6e79800de8b,900378,"1469 i 13a switch control tap 835 01469i 2 wire tap, ivory",no,
44,LEV 14W47,2P3W 15A WETGUARD CORD P LUG 125V YL,,2P3W 15A WETGUARD CORD P,LUG 125V YL,14w47 2p3w 15a wetguard cord plug 125v yellow co straight blade 15a125v 272979,272979,,b95d65c6-81a4-73a6-d314-f6e720ba1e8c,272979,14w47 2p3w 15a wetguard cord plug 125v yellow co straight blade 15a125v,no,
45,LEV 1547,2P3W RUBBER CORD CONN 15 A/125V YL,,2P3W RUBBER CORD CONN 15,A/125V YL,1547 2p3w rubber cord conn 15 a 125v yellow dustguard 2po 3wi 272974,272974,,b95d65c6-81a4-73a6-d314-f6e78076618c,272974,1547 2p3w rubber cord conn 15 a 125v yellow dustguard 2po 3wi,no,
46,LEV 15W47,2P3W 15A WETGUARD CORD C ONN 125V YL,,2P3W 15A WETGUARD CORD C,ONN 125V YL,15w47 2p3w 15a wetguard cord conn 125v yellow co 2po 3wi 15a125v 272983,272983,,b95d65c6-81a4-73a6-d314-f6e7e0a8a18c,272983,15w47 2p3w 15a wetguard cord conn 125v yellow co 2po 3wi 15a125v,no,
47,LEV 16342,2P3W 20A DECORA RECEPT 1 25V BRN,,2P3W 20A DECORA RECEPT 1,25V BRN,16342 2p3w 20a decora recept 1 25v brn rece brown rec dup decp 5 20r 20a125v 153685,153685,,b95d65c6-81a4-73a6-d314-f6e7c80fe98c,153685,16342 2p3w 20a decora recept 1 25v brn rece brown rec dup decp 5 20r 20a125v,no,
48,LEV 16342-I,2P3W 20A DECORA RECEPT 1 25V IV,,2P3W 20A DECORA RECEPT 1,25V IV,16342 i 2p3w 20a decora recept 1 25v iv re rec dup decp 5 20r 20a125v 153637,153637,,b95d65c6-81a4-73a6-d314-f6e7e02e2a8d,153637,16342 i 2p3w 20a decora recept 1 25v iv re rec dup decp 5 20r 20a125v,no,
49,LEV 16342-W,2P3W 20A DECORA RECEPT 1 25V WH,,2P3W 20A DECORA RECEPT 1,25V WH,16342 w 2p3w 20a decora recept 1 25v white re rec dup decp 5 20r 20a125v 153636,153636,,b95d65c6-81a4-73a6-d314-f6e760e6658d,153636,16342 w 2p3w 20a decora recept 1 25v white re rec dup decp 5 20r 20a125v,no,
50,LEV 167,MED BASE PIN-TYPE SOCKET 600W 250V,,MED BASE PIN-TYPE SOCKET,600W 250V,167 med base pin type socket 600w 250v sock brown phen lamph w hook 660w250v 371174,371174,,b95d65c6-81a4-73a6-d314-f6e7804e9c8d,371174,167 med base pin type socket 600w 250v sock brown phen lamph w hook 660w250v,no,
51,LEV 16D24-UE,400A 600V MALE PLUG BLAC K,,400A 600V MALE PLUG BLAC,K,16d24 ue 400a 600v male plug black pl eb detach plg taper 2setscr 2 0 4 789575,789575,,b95d65c6-81a4-73a6-d314-f6e74048ce8d,789575,16d24 ue 400a 600v male plug black pl eb detach plg taper 2setscr 2 0 4,no,
