extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
74,GE CR305X230N,H-O-A N1 KIT SZ2,,H-O-A N1 KIT SZ2,,cr305x230n h o a n1 kit sz2 h-o-a 694218,694218,,b95d65c6-81a4-73a6-d314-e8e7a019467f,694218,cr305x230n h o a n1 kit sz2 h-o-a,no,
75,GE CR305X320B,START-STOP PB KIT N1 SZ3 -4,,START-STOP PB KIT N1 SZ3,-4,cr305x320b start stop-pb (push button) push button kit n1 sz3 4 pb 694228,694228,,b95d65c6-81a4-73a6-d314-e8e78852847f,694228,cr305x320b start stop-pb (push button) push button kit n1 sz3 4 pb,no,
76,GE CR305X330B,H-O-A N1 KIT SZ3-4,,H-O-A N1 KIT SZ3-4,,cr305x330b h o a n1 kit sz3 4 h-o-a 694220,694220,,b95d65c6-81a4-73a6-d314-e8e768eec17f,694220,cr305x330b h o a n1 kit sz3 4 h-o-a,no,
77,GE CR305X330D,OFF-ON N1 KIT SZ3-4,,OFF-ON N1 KIT SZ3-4,,cr305x330d off-on n1 kit sz3 4 694206,694206,,b95d65c6-81a4-73a6-d314-e8e7981c0480,694206,cr305x330d off-on n1 kit sz3 4,no,
78,GE CR305X500A,1NO AUX CONTACT SZ5-6,,1NO AUX CONTACT SZ5-6,,cr305x500a 1no auxiliary contact sz5 6 694232,694232,,b95d65c6-81a4-73a6-d314-e8e7f8853f80,694232,cr305x500a 1no auxiliary contact sz5 6,no,
79,GE CR305X500B,1NC AUX CONTACT SZ5-6,,1NC AUX CONTACT SZ5-6,,cr305x500b 1nc auxiliary contact sz5 6 694234,694234,,b95d65c6-81a4-73a6-d314-e8e720ab7980,694234,cr305x500b 1nc auxiliary contact sz5 6,no,
80,GE CR305X520B,START-STOP PB KIT N1 SZ5,,START-STOP PB KIT N1 SZ5,,cr305x520b start stop-pb (push button) push button kit n1 sz5 pb 694230,694230,,b95d65c6-81a4-73a6-d314-e8e7e817b380,694230,cr305x520b start stop-pb (push button) push button kit n1 sz5 pb,no,
81,GE CR305X530B,H-O-A N1 KIT SZ5,,H-O-A N1 KIT SZ5,,cr305x530b h o a n1 kit sz5 694224,694224,,b95d65c6-81a4-73a6-d314-e8e7d0f4f780,694224,cr305x530b h o a n1 kit sz5,no,
82,GE CR305X530D,OFF-ON N1 KIT SZ5,,OFF-ON N1 KIT SZ5,,cr305x530d off-on n1 kit sz5 694210,694210,,b95d65c6-81a4-73a6-d314-e8e7385f3481,694210,cr305x530d off-on n1 kit sz5,no,
83,GE CR306C10200A2063,PART # 0410648-001,,PART # 0410648-001,,cr306c10200a2063 part # 0410648 001 94539,94539,,b95d65c6-81a4-73a6-d314-e8e7b0de7381,94539,cr306c10200a2063 part # 0410648 001,no,
84,GE CR306C10300AAAAA,PART # 0410648-002,,PART # 0410648-002,,cr306c10300aaaaa part # 0410648 002 94542,94542,,b95d65c6-81a4-73a6-d314-e8e77851ac81,94542,cr306c10300aaaaa part # 0410648 002,no,
85,GE CR306C10500AAAAA,PART # 0410648-003,,PART # 0410648-003,,cr306c10500aaaaa part # 0410648 003 94543,94543,,b95d65c6-81a4-73a6-d314-e8e7583bdd81,94543,cr306c10500aaaaa part # 0410648 003,no,
86,GE CR306EXL102,SZ3 N1 FVNR 35-70A 120V COIL,,SZ3 N1 FVNR 35-70A 120V,COIL,cr306exl102 sz3 n1 fvnr full voltage non-reversing 35 70a 120v coil 692320,692320,,b95d65c6-81a4-73a6-d314-e8e768d41582,692320,cr306exl102 sz3 n1 fvnr full voltage non-reversing 35 70a 120v coil,no,
87,GE CR306FXL102,SZ4 N1 FVNR 35-70A 120V COIL,,SZ4 N1 FVNR 35-70A 120V,COIL,cr306fxl102 sz4 n1 fvnr full voltage non-reversing 35 70a 120v coil 692346,692346,,b95d65c6-81a4-73a6-d314-e8e758ff4a82,692346,cr306fxl102 sz4 n1 fvnr full voltage non-reversing 35 70a 120v coil,no,
88,GE CR306GXP102,SZ5 N1 FVNR 65-135A 120V COIL,,SZ5 N1 FVNR 65-135A 120V,COIL,cr306gxp102 sz5 n1 fvnr full voltage non-reversing 65 135a 120v coil 692348,692348,,b95d65c6-81a4-73a6-d314-e8e7008c7a82,692348,cr306gxp102 sz5 n1 fvnr full voltage non-reversing 65 135a 120v coil,no,
89,GE CR306X190B,N1 ENC STD SZ00-0-1,,N1 ENC STD SZ00-0-1,,cr306x190b n1 enclosure standard sz00 0 1 690652,690652,,b95d65c6-81a4-73a6-d314-e8e710d3af82,690652,cr306x190b n1 enclosure standard sz00 0 1,no,
90,GE CR306X190K,N3R ENCLOSURE SZ00/0/1,,N3R ENCLOSURE SZ00/0/1,,cr306x190k n3r enclosure sz00 0 1 691413,691413,,b95d65c6-81a4-73a6-d314-e8e7e8d6e782,691413,cr306x190k n3r enclosure sz00 0 1,no,
91,GE CR306X190L,N12 ENCL SZ00/0/1 EXTRA WIDE,,N12 ENCL SZ00/0/1 EXTRA,WIDE,cr306x190l n12 enclosed sz00 0 1 extra wide 702545,702545,,b95d65c6-81a4-73a6-d314-e8e7c00a1883,702545,cr306x190l n12 enclosed sz00 0 1 extra wide,no,
92,GE CR306X190M,N3R EXTRA WIDE ENCL SZ00 /0/1,,N3R EXTRA WIDE ENCL SZ00,/0/1,cr306x190m n3r extra wide enclosed sz00 0 1 691422,691422,,b95d65c6-81a4-73a6-d314-e8e740ce5183,691422,cr306x190m n3r extra wide enclosed sz00 0 1,no,
93,GE CR306X290B,N1 ENC STD SZ2,,N1 ENC STD SZ2,,cr306x290b n1 enclosure standard sz2 690654,690654,,b95d65c6-81a4-73a6-d314-e8e780e38d83,690654,cr306x290b n1 enclosure standard sz2,no,
94,GE CR306X290K,N3R ENCLOSURE SZ2,,N3R ENCLOSURE SZ2,,cr306x290k n3r enclosure sz2 691415,691415,,b95d65c6-81a4-73a6-d314-e8e728a4c583,691415,cr306x290k n3r enclosure sz2,no,
95,GE CR306X290L,N12 ENCL SZ2 EXTRA WIDE,,N12 ENCL SZ2 EXTRA WIDE,,cr306x290l n12 enclosed sz2 extra wide 702547,702547,,b95d65c6-81a4-73a6-d314-e8e780fffd83,702547,cr306x290l n12 enclosed sz2 extra wide,no,
96,GE CR306X290M,N3R EXTRA WIDE ENCL SZ2,,N3R EXTRA WIDE ENCL SZ2,,cr306x290m n3r extra wide enclosed sz2 691424,691424,,b95d65c6-81a4-73a6-d314-e8e798522e84,691424,cr306x290m n3r extra wide enclosed sz2,no,
97,GE CR306X390C,N1 ENC STD SZ3,,N1 ENC STD SZ3,,cr306x390c n1 enclosure standard sz3 690656,690656,,b95d65c6-81a4-73a6-d314-e8e770035f84,690656,cr306x390c n1 enclosure standard sz3,no,
98,GE CR306X390K,N3R ENCLOSURE SZ3,,N3R ENCLOSURE SZ3,,cr306x390k n3r enclosure sz3 691416,691416,,b95d65c6-81a4-73a6-d314-e8e720749884,691416,cr306x390k n3r enclosure sz3,no,
99,GE CR306X390L,N12 ENCL SZ3 EXTRA WIDE,,N12 ENCL SZ3 EXTRA WIDE,,cr306x390l n12 enclosed sz3 extra wide 702548,702548,,b95d65c6-81a4-73a6-d314-e8e7200dd784,702548,cr306x390l n12 enclosed sz3 extra wide,no,
100,GE CR306X490B,N1 ENC STD SZ4,,N1 ENC STD SZ4,,cr306x490b n1 enclosure standard sz4 690658,690658,,b95d65c6-81a4-73a6-d314-e8e7e8130885,690658,cr306x490b n1 enclosure standard sz4,no,
101,GE CR306X490K,N3R ENCLOSURE SZ4,,N3R ENCLOSURE SZ4,,cr306x490k n3r enclosure sz4 691425,691425,,b95d65c6-81a4-73a6-d314-e8e7f0153f85,691425,cr306x490k n3r enclosure sz4,no,
102,GE CR306X490L,N12 ENCL SZ4 EXTRA WIDE,,N12 ENCL SZ4 EXTRA WIDE,,cr306x490l n12 enclosed sz4 extra wide 702549,702549,,b95d65c6-81a4-73a6-d314-e8e770947785,702549,cr306x490l n12 enclosed sz4 extra wide,no,
103,GE CR306X590L,N12 ENCL SZ5 EXTRA WIDE,,N12 ENCL SZ5 EXTRA WIDE,,cr306x590l n12 enclosed sz5 extra wide 702551,702551,,b95d65c6-81a4-73a6-d314-e8e788b1b085,702551,cr306x590l n12 enclosed sz5 extra wide,no,
104,GE CR324CXCS,SZ1 SS OVERLOAD 0.4-085A,,SZ1 SS OVERLOAD 0.4-085A,,cr324cxcs sz1 ss overload 0.4 085a size 1 0.85a 689614,689614,,b95d65c6-81a4-73a6-d314-e8e7e089e985,689614,cr324cxcs sz1 ss overload 0.4 085a size 1 0.85a,no,
105,GE CR324CXES,SZ1 SS OVERLOAD 1.6-3.4A,,SZ1 SS OVERLOAD 1.6-3.4A,,cr324cxes sz1 ss overload 1.6 3.4a size 1 689617,689617,,b95d65c6-81a4-73a6-d314-e8e770d71f86,689617,cr324cxes sz1 ss overload 1.6 3.4a size 1,no,
106,GE CR324CXFS,SZ1 SS OVERLOAD 3.2-6.8A,,SZ1 SS OVERLOAD 3.2-6.8A,,cr324cxfs sz1 ss overload 3.2 6.8a size 1 689621,689621,,b95d65c6-81a4-73a6-d314-e8e740fa5986,689621,cr324cxfs sz1 ss overload 3.2 6.8a size 1,no,
107,GE CR324CXHS,SZ1 SS OVERLOAD 13-27A,,SZ1 SS OVERLOAD 13-27A,,cr324cxhs sz1 ss overload 13 27a size 1 689628,689628,,b95d65c6-81a4-73a6-d314-e8e7b8db9186,689628,cr324cxhs sz1 ss overload 13 27a size 1,no,
108,GE CR324DXGS,SZ2 SS OVERLOAD 6.5-13.5 A,,SZ2 SS OVERLOAD 6.5-13.5,A,cr324dxgs sz2 ss overload 6.5 13.5 a size 2 13.5a 689581,689581,,b95d65c6-81a4-73a6-d314-e8e708a0c886,689581,cr324dxgs sz2 ss overload 6.5 13.5 a size 2 13.5a,no,
109,GE CR324DXHS,SZ2 SS OVERLOAD 13-27A,,SZ2 SS OVERLOAD 13-27A,,cr324dxhs sz2 ss overload 13 27a size 2 689583,689583,,b95d65c6-81a4-73a6-d314-e8e718150787,689583,cr324dxhs sz2 ss overload 13 27a size 2,no,
110,GE CR324FXKS,SZ3&4 SS OVERLOAD 17-35A,,SZ3&4 SS OVERLOAD 17-35A,,cr324fxks sz3&4 ss overload 17 35a size 3 and 4 689699,689699,,b95d65c6-81a4-73a6-d314-e8e7e86c4d87,689699,cr324fxks sz3&4 ss overload 17 35a size 3 and 4,no,
111,GE CR324GXNS,SZ5 OVERLOAD 32-68A NO C T,,SZ5 OVERLOAD 32-68A NO C,T,cr324gxns sz5 overload 32 68a no c t 689705,689705,,b95d65c6-81a4-73a6-d314-e8e7b08e8687,689705,cr324gxns sz5 overload 32 68a no c t,no,
112,GE CR460XCJ,115-120V COIL,,115-120V COIL,,cr460xcj 115 120v coil 120v60 hz hertz 110v50hz 756384,756384,,b95d65c6-81a4-73a6-d314-e8e7882ebe87,756384,cr460xcj 115 120v coil 120v60 hz hertz 110v50hz,no,
113,GE EP101ULH1C16,1P16A MINI BREAKER (EP10 1ULHC16),,1P16A MINI BREAKER (EP10,1ULHC16),ep101ulh1c16 1p16a mini breaker ep10 1ulhc16 758696,758696,,b95d65c6-81a4-73a6-d314-e8e7f0fdfe87,758696,ep101ulh1c16 1p16a mini breaker ep10 1ulhc16,no,
114,GE EP102ULC16,2P 16A C MINI CB,,2P 16A C MINI CB,,ep102ulc16 2p 16a c mini cb 767227,767227,,b95d65c6-81a4-73a6-d314-e8e710483a88,767227,ep102ulc16 2p 16a c mini cb,no,
115,GE EP102ULC20,2P 20A BREAKER,,2P 20A BREAKER,,ep102ulc20 2p 20a breaker 20150,20150,,b95d65c6-81a4-73a6-d314-e8e770e37588,20150,ep102ulc20 2p 20a breaker,no,
116,GE EP102ULH2C32,32A/2P BREAKER (EP102ULH 2C32),,32A/2P BREAKER (EP102ULH,2C32),ep102ulh2c32 32a 2p breaker ep102ulh 2c32 40325,40325,,b95d65c6-81a4-73a6-d314-e8e77022aa88,40325,ep102ulh2c32 32a 2p breaker ep102ulh 2c32,no,
117,GE ERHM01340VM740N14BGRA,.,,.,,erhm01340vm740n14bgra . 253933,253933,,b95d65c6-81a4-73a6-d314-19e8001870e3,253933,erhm01340vm740n14bgra .,no,
118,GE ERHM01440VM740N14BGRA,Y,,Y,,erhm01440vm740n14bgra y 158926,158926,,b95d65c6-81a4-73a6-d314-19e8001ccbe3,158926,erhm01440vm740n14bgra y,no,
119,GE GPS1BSAN,MANUAL MOTOR STARTER 14- 20A,,MANUAL MOTOR STARTER 14-,20A,gps1bsan manual motor starter 14 20a 738335,738335,,b95d65c6-81a4-73a6-d314-e8e7d8fadc88,738335,gps1bsan manual motor starter 14 20a,no,
120,GE GRRC10RPTWT,-93018834,,-93018834,,grrc10rptwt 93018834 293234,293234,,b95d65c6-81a4-73a6-d314-19e8d81201e4,293234,grrc10rptwt 93018834,no,
121,GE LAMPS,LED 15T8/DR/D2L # 38974,,LED 15T8/DR/D2L # 38974,,lamps led light emitting diode 15t8 dr d2l # 38974 196641,196641,,b95d65c6-81a4-73a6-d314-19e8a0bb30e4,196641,lamps led light emitting diode 15t8 dr d2l # 38974,no,
122,GE LEDT8/LC/G/7/840,# 34235,,# 34235,,ledt8 lc g 7 840 # 34235 443295,443295,,b95d65c6-81a4-73a6-d314-19e800af88e8,443295,ledt8 lc g 7 840 # 34235,no,
123,GE LIGHTING,#34235,,#34235,,lighting #34235 343637,343637,,b95d65c6-81a4-73a6-d314-19e86098b7e8,343637,lighting #34235,no,
124,GE LRXEMBBKIT07,.,,.,,lrxembbkit07 . 719616,719616,,b95d65c6-81a4-73a6-d314-19e8c80ae2e8,719616,lrxembbkit07 .,no,
125,GE LRXR610835MD,.,,.,,lrxr610835md . 719611,719611,,b95d65c6-81a4-73a6-d314-19e8902c1be9,719611,lrxr610835md .,no,
126,GE LRXR610835MDEL,.,,.,,lrxr610835mdel . 719612,719612,,b95d65c6-81a4-73a6-d314-19e8008043e9,719612,lrxr610835mdel .,no,
127,GE MCRA022ATJ,AUX CONTACT 110V50,,AUX CONTACT 110V50,,mcra022atj auxiliary contact 110v50 708755,708755,,b95d65c6-81a4-73a6-d314-e8e788950f89,708755,mcra022atj auxiliary contact 110v50,no,
128,GE MCRA022ATM,RELAY 2NO/2NC 208V AC CO IL,,RELAY 2NO/2NC 208V AC CO,IL,mcra022atm relay 2no 2nc 208v ac coil 751146,751146,,b95d65c6-81a4-73a6-d314-e8e708534a89,751146,mcra022atm relay 2no 2nc 208v ac coil,no,
129,GE MCRC022ATS,RELAY,,RELAY,,mcrc022ats relay 999699,999699,,b95d65c6-81a4-73a6-d314-e8e768468889,999699,mcrc022ats relay,no,
130,GE MCRC022ATWG-B,MINI AUX 2NO 2NC 48V DC WR,,MINI AUX 2NO 2NC 48V DC,WR,mcrc022atwg b mini auxiliary 2no 2nc 48v dc wr 738326,738326,,b95d65c6-81a4-73a6-d314-e8e7484dc989,738326,mcrc022atwg b mini auxiliary 2no 2nc 48v dc wr,no,
131,GE MCRC022ATWN,RELAY 220VDC 2NO/2NC,,RELAY 220VDC 2NO/2NC,,mcrc022atwn relay 220vdc 2no 2nc 761507,761507,,b95d65c6-81a4-73a6-d314-e8e7e80e088a,761507,mcrc022atwn relay 220vdc 2no 2nc,no,
132,GE MCRC040ATWJ,4NO 125V DC RELAY,,4NO 125V DC RELAY,,mcrc040atwj 4no 125v dc relay 738459,738459,,b95d65c6-81a4-73a6-d314-e8e740763e8a,738459,mcrc040atwj 4no 125v dc relay,no,
133,GE PRCPZ11,PRC FIXING CLIP,,PRC FIXING CLIP,,prcpz11 prc fixing clip 743472,743472,,b95d65c6-81a4-73a6-d314-e8e7603a6e8a,743472,prcpz11 prc fixing clip,no,
134,GE RG-GM-CBSB-MTY,SWBD AUTO-152444361-0210,,SWBD AUTO-152444361-0210,,rg gm cbsb mty swbd switchboard auto 152444361 0210 659505,659505,,b95d65c6-81a4-73a6-d314-19e840c96ee9,659505,rg gm cbsb mty swbd switchboard auto 152444361 0210,no,
135,GE RL4RD022TD,2NO/2NC 5A 24VDC CONTROL RELAY,,2NO/2NC 5A 24VDC CONTROL,RELAY,rl4rd022td 2no 2nc 5a 24vdc control relay 451381,451381,,b95d65c6-81a4-73a6-d314-e8e750b1a78a,451381,rl4rd022td 2no 2nc 5a 24vdc control relay,no,
136,GE RMLFJ,MECH LATCH 110-125V,,MECH LATCH 110-125V,,rmlfj mechanical latch 110 125v 429705,429705,,b95d65c6-81a4-73a6-d314-e8e7d8bfde8a,429705,rmlfj mechanical latch 110 125v,no,
137,GE TEB122015WL,15A CIRCUIT BREAKER,,15A CIRCUIT BREAKER,,teb122015wl 15a circuit breaker 40488,40488,,b95d65c6-81a4-73a6-d314-e8e720510496,40488,teb122015wl 15a circuit breaker,no,
138,GE TED124015WL,2P 480VAC 250VDC 15A BRE AKER,,2P 480VAC 250VDC 15A BRE,AKER,ted124015wl 2p 480vac 250vdc 15a breaker 66419,66419,,b95d65c6-81a4-73a6-d314-e8e7807a3996,66419,ted124015wl 2p 480vac 250vdc 15a breaker,no,
139,GE TED124020WL,2P 480VAC 250VDC 20A BRK R,,2P 480VAC 250VDC 20A BRK,R,ted124020wl 2p 480vac 250vdc 20a brkr 40483,40483,,b95d65c6-81a4-73a6-d314-e8e7d0fa7296,40483,ted124020wl 2p 480vac 250vdc 20a brkr,no,
140,GE THQCB1CVVDCXXXX5,(15A/1P 24-48VDC N1,,(15A/1P 24-48VDC N1,,thqcb1cvvdcxxxx5 15a 1p 24 48vdc n1 915378,915378,,9db6fac8-f502-728b-d914-351ca893e5b8,915378,thqcb1cvvdcxxxx5 15a 1p 24 48vdc n1,no,
