extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
91	ABB A1A040TW	A1A 100 TMF 40-400 3P F F UL (A1A 100 TMF 40-400		A1A 100 TMF 40-400 3P F	F UL (A1A 100 TMF 40-400	3P F F UL)	877296		911a2a90-25b0-cf93-e814-40a5d0f2b29d
92	ABB A1A040TW-2	A1A 100 TMF 40-400 2P F F UL (A1A 100 TMF 40-400		A1A 100 TMF 40-400 2P F	F UL (A1A 100 TMF 40-400	2P F F UL)	877277		911a2a90-25b0-cf93-e814-40a5a0c8cb9d
93	ABB A1A050TW	A1A 100 TMF 50-500 3P F F UL (A1A 100 TMF 50-500		A1A 100 TMF 50-500 3P F	F UL (A1A 100 TMF 50-500	3P F F UL)	877297		911a2a90-25b0-cf93-e814-40a5f87fe49d
94	ABB A1A050TW-1	A1A 100 TMF 50-500 1P F F UL (A1A 100 TMF 50-500		A1A 100 TMF 50-500 1P F	F UL (A1A 100 TMF 50-500	1P F F UL)	281260		911a2a90-25b0-cf93-e814-40a530d0fc9d
95	ABB A1A050TW-2	A1A 100 TMF 50-500 2P F F UL (A1A 100 TMF 50-500		A1A 100 TMF 50-500 2P F	F UL (A1A 100 TMF 50-500	2P F F UL)	877281		911a2a90-25b0-cf93-e814-40a5984a159e
96	ABB A1A060TW	A1A 100 TMF 60-600 3P F F UL (A1A 100 TMF 60-600		A1A 100 TMF 60-600 3P F	F UL (A1A 100 TMF 60-600	3P F F UL)	879637		911a2a90-25b0-cf93-e814-40a5e847369e
97	ABB A1A060TW-1	100 TMF 60-600 1P F F UL		100 TMF 60-600 1P F F UL			808900		911a2a90-25b0-cf93-e814-40a548630856
98	ABB A1A060TW-2	A1A 100 TMF 60-600 2P F F UL (A1A 100 TMF 60-600		A1A 100 TMF 60-600 2P F	F UL (A1A 100 TMF 60-600	2P F F UL)	877283		911a2a90-25b0-cf93-e814-40a58046599e
99	ABB A1A070TW-2	2P 70A BREAKER		2P 70A BREAKER			813139		911a2a90-25b0-cf93-e814-40a5903e2156
100	ABB A1A100TW-2	TMF 100-1000 2P F F UL		TMF 100-1000 2P F F UL			731640		911a2a90-25b0-cf93-e814-40a580b33956
101	ABB A1N020TW-2	2P 20A BREAKER		2P 20A BREAKER			313590		911a2a90-25b0-cf93-e814-40a510e77d9e
102	ABB A1N050TW-2	2P 50A BREAKER		2P 50A BREAKER			313600		911a2a90-25b0-cf93-e814-40a5d88b9d9e
103	ABB A1N060TW-2	2P 60A BREAKER		2P 60A BREAKER			313603		911a2a90-25b0-cf93-e814-40a5c84bb69e
104	ABB A26-30-10-34	3P 28A 208V CONTACTOR		3P 28A 208V CONTACTOR			22880		911a2a90-25b0-cf93-e814-40a5804f5256
105	ABB A26-30-10-51	3P 28A 480V CONTACTOR		3P 28A 480V CONTACTOR			22895		911a2a90-25b0-cf93-e814-40a5902c6f56
106	ABB A2A200TW-2	A2A 250 TMF BREAKER		A2A 250 TMF BREAKER			281710		911a2a90-25b0-cf93-e814-40a530818956
107	ABB A2A225TW-2	A2A 250 TMF BREAKER		A2A 250 TMF BREAKER			210526		911a2a90-25b0-cf93-e814-40a5f8eca556
108	ABB A2N22125RM	2P 125A RELIAMOD BREAKER		2P 125A RELIAMOD BREAKER			1071628		911a2a90-25b0-cf93-e814-48a5a0964a5d
109	ABB A2N22200RM	.		.			980284		911a2a90-25b0-cf93-e814-5ea51012b8de
110	ABB A30-30-10-34	3P 34A 208V CONTACTOR		3P 34A 208V CONTACTOR			22907		911a2a90-25b0-cf93-e814-40a5d893c456
111	ABB A30-30-10-80	3P 34A 240V CONTACTOR		3P 34A 240V CONTACTOR			22908		911a2a90-25b0-cf93-e814-40a500fcde56
112	ABB A3PB61-600B-10	2POS MOM 60mm MSHRM BLK 1NO		2POS MOM 60mm MSHRM BLK	1NO		573534		911a2a90-25b0-cf93-e814-40a518c0f856
113	ABB A3PBF1-600B-01	PB 2POS MOMTRY FLUSH BLA CK		PB 2POS MOMTRY FLUSH BLA	CK		552710		911a2a90-25b0-cf93-e814-40a5c80f1257
114	ABB A3PBF1-600B-10	2POS MOMTRY,FLUSH,BLK,1N O		2POS MOMTRY,FLUSH,BLK,1N	O		525919		911a2a90-25b0-cf93-e814-40a5e8702c57
115	ABB A3PBF1-600B-11	PB,2POS MOMTRY,FLSH,1NO+ 1NC		PB,2POS MOMTRY,FLSH,1NO+	1NC		554390		911a2a90-25b0-cf93-e814-40a5a8264857
116	ABB A3PBF1-600G-91	PB,2POS,MOMTRY,GRN,1NO+1 NC		PB,2POS,MOMTRY,GRN,1NO+1	NC		914126		911a2a90-25b0-cf93-e814-40a5709e6257
117	ABB A3PBF1-600R-10	2POS,MOMTRY,FLSH,RED,1NO		2POS,MOMTRY,FLSH,RED,1NO			525918		911a2a90-25b0-cf93-e814-40a548ba7d57
